area__rucc,area__urban_influence,demo__birth_rate_per_1k,demo__death_rate_per_1k,demo__pct_adults_bachelors_or_higher,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_aged_65_years_and_older,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_below_18_years_of_age,demo__pct_female,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_excessive_drinking,health__pct_low_birthweight,health__pct_physical_inacticity,health__pop_per_dentist,health__pop_per_primary_care_physician,heart_disease_mortality_per_100k,row_id,yr
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,12.0,12.0,0.15438247011952191,0.1942231075697211,0.4243027888446215,0.2270916334661355,0.17600000000000002,0.004,0.011000000000000001,0.235,0.516,0.109,0.039,0.8290000000000001,Manufacturing-dependent,0.408,0.057,0.254,0.066,13.0,15.09,0.297,0.23,0.131,0.147,0.08900000000000001,0.332,1650.0,1489.0,312,0,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,19.0,7.0,0.2593718338399189,0.1641337386018237,0.2340425531914893,0.342451874366768,0.10099999999999999,0.008,0.015,0.272,0.503,0.41,0.07,0.493,Mining-dependent,0.556,0.039,0.26,0.14300000000000002,10.0,19.79,0.28800000000000003,0.19,0.09,0.18100000000000002,0.08199999999999999,0.265,2010.0,2480.0,257,1,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,12.0,6.0,0.41724479682854304,0.15857284440039646,0.23785926660059464,0.18632309217046575,0.115,0.013000000000000001,0.085,0.179,0.522,0.20199999999999999,0.198,0.479,Nonspecialized,0.541,0.057,0.07,0.023,10.0,3.14,0.212,0.156,0.084,0.195,0.098,0.209,629.0,690.0,195,4,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,12.0,0.1626746506986028,0.18163672654690616,0.40718562874251496,0.24850299401197606,0.16399999999999998,0.006999999999999999,0.001,0.2,0.525,0.013000000000000001,0.049,0.897,Nonspecialized,0.5,0.061,0.203,0.059000000000000004,13.0,14.82,0.285,0.205,0.10400000000000001,0.147,0.057999999999999996,0.23800000000000002,1810.0,6630.0,218,5,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",14.0,12.0,0.15747241725175526,0.12236710130391172,0.4132397191574724,0.3069207622868605,0.171,0.003,0.0,0.237,0.511,0.025,0.008,0.953,Nonspecialized,0.47100000000000003,0.05,0.225,0.10300000000000001,9.0,29.39,0.284,0.23399999999999999,0.13699999999999998,0.19399999999999998,0.07,0.29,3489.0,2590.0,355,6,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,11.0,8.0,0.286734693877551,0.1377551020408163,0.2948979591836734,0.2806122448979592,0.121,0.002,0.006,0.207,0.516,0.022000000000000002,0.046,0.903,Federal/State government-dependent,0.501,0.048,0.212,0.055,13.0,13.74,0.28300000000000003,0.22,0.11199999999999999,0.067,0.08900000000000001,0.272,2439.0,1540.0,288,8,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,10.0,10.0,0.13810483870967746,0.10987903225806453,0.4254032258064516,0.32661290322580644,0.16699999999999998,0.004,0.0,0.221,0.507,0.034,0.002,0.9420000000000001,Nonspecialized,0.462,0.08800000000000001,0.18,0.039,12.0,18.55,0.305,0.205,0.11,0.193,0.07,0.282,3100.0,3689.0,283,10,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,12.0,10.0,0.19738167170191345,0.12286002014098693,0.3152064451158107,0.36455186304128906,0.134,0.004,0.023,0.247,0.499,0.053,0.22399999999999998,0.6809999999999999,Manufacturing-dependent,0.425,0.077,0.252,0.079,13.0,22.27,0.317,0.264,0.131,0.13,0.092,0.27699999999999997,2800.0,1790.0,315,11,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,12.0,10.0,0.14198161389172625,0.2921348314606741,0.278855975485189,0.2870275791624107,0.11,0.008,0.005,0.248,0.473,0.015,0.7190000000000001,0.257,Nonspecialized,0.313,0.111,0.275,0.063,12.0,22.78,0.41700000000000004,0.20800000000000002,0.127,0.106,0.139,0.373,3990.0,3549.0,426,14,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",21.0,10.0,0.14876847290640394,0.1536945812807882,0.32315270935960594,0.374384236453202,0.121,0.546,0.004,0.34700000000000003,0.489,0.013999999999999999,0.0,0.426,Farm-dependent,0.371,0.044000000000000004,0.24100000000000002,0.11,9.0,63.15000000000001,0.332,0.341,0.10099999999999999,0.214,0.073,0.33299999999999996,1609.0,1350.0,309,15,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",13.0,10.0,0.20710059171597636,0.09467455621301776,0.3875739644970415,0.3106508875739645,0.17800000000000002,0.05,0.0,0.255,0.49200000000000005,0.061,0.005,0.868,Mining-dependent,0.47600000000000003,0.027999999999999997,0.252,0.166,10.0,14.82,0.314,0.205,0.12,0.147,0.08199999999999999,0.39399999999999996,3780.0,3700.0,288,17,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",8.0,13.0,0.14313919052319846,0.2043435340572557,0.3563672260612044,0.2961500493583416,0.195,0.008,0.002,0.212,0.504,0.013999999999999999,0.042,0.915,Nonspecialized,0.43200000000000005,0.051,0.19899999999999998,0.044000000000000004,13.0,23.37,0.302,0.24600000000000002,0.14400000000000002,0.15,0.09,0.303,6549.0,3710.0,300,19,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",9.0,15.0,0.08617234468937875,0.2284569138276553,0.43687374749499003,0.24849699398797595,0.21899999999999997,0.004,0.0,0.215,0.49700000000000005,0.009000000000000001,0.004,0.961,Mining-dependent,0.41700000000000004,0.087,0.243,0.08900000000000001,11.0,49.02,0.34600000000000003,0.22,0.126,0.147,0.071,0.34299999999999997,1119.0,1640.0,322,20,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,13.0,7.0,0.32595573440643866,0.20221327967806846,0.17907444668008046,0.29275653923541245,0.13699999999999998,0.028999999999999998,0.057999999999999996,0.22899999999999998,0.502,0.44299999999999995,0.015,0.455,Nonspecialized,0.489,0.054000000000000006,0.26,0.096,7.0,8.78,0.195,0.11,0.067,0.174,0.053,0.142,1330.0,1289.0,213,24,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,9.0,13.0,0.10344827586206898,0.19371196754563896,0.4959432048681542,0.206896551724138,0.18,0.006,0.003,0.188,0.488,0.044000000000000004,0.21600000000000003,0.738,Manufacturing-dependent,0.456,0.065,0.247,0.081,12.0,14.82,0.337,0.348,0.12,0.147,0.107,0.364,1609.0,5140.0,310,27,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,11.0,11.0,0.15064420218037666,0.18235877106045592,0.35877106045589696,0.3082259663032706,0.192,0.006999999999999999,0.0,0.233,0.49700000000000005,0.10099999999999999,0.028999999999999998,0.855,Farm-dependent,0.446,0.049,0.318,0.147,10.0,35.65,0.312,0.20600000000000002,0.11699999999999999,0.10099999999999999,0.078,0.327,3790.0,7530.0,337,30,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,14.0,9.0,0.3106893106893107,0.14385614385614387,0.2607392607392608,0.28471528471528473,0.128,0.009000000000000001,0.019,0.24100000000000002,0.536,0.036000000000000004,0.55,0.375,Federal/State government-dependent,0.45899999999999996,0.07,0.215,0.054000000000000006,13.0,14.94,0.36200000000000004,0.185,0.13699999999999998,0.14400000000000002,0.11699999999999999,0.287,1680.0,1119.0,276,31,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",13.0,15.0,0.2492552135054617,0.211519364448858,0.2859980139026812,0.253227408142999,0.24600000000000002,0.018000000000000002,0.002,0.21100000000000002,0.508,0.5429999999999999,0.004,0.435,Federal/State government-dependent,0.44799999999999995,0.044000000000000004,0.377,0.2,10.0,14.82,0.294,0.205,0.113,0.18600000000000003,0.095,0.289,1609.0,1350.0,204,33,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",15.0,7.0,0.2908011869436201,0.07319485657764588,0.26904055390702275,0.3669634025717111,0.09300000000000001,0.14,0.04,0.256,0.466,0.040999999999999995,0.001,0.6970000000000001,Recreation,0.527,0.085,0.27399999999999997,0.153,13.0,14.82,0.303,0.23399999999999999,0.057999999999999996,0.221,0.055999999999999994,0.23600000000000002,2439.0,1379.0,228,34,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,14.0,14.0,0.1202854230377166,0.2640163098878696,0.3914373088685015,0.22426095820591235,0.171,0.0,0.002,0.268,0.517,0.055999999999999994,0.107,0.813,Nonspecialized,0.42700000000000005,0.083,0.231,0.084,13.0,23.16,0.337,0.307,0.121,0.147,0.107,0.385,3169.0,1759.0,438,35,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,12.0,12.0,0.1519364448857994,0.09235352532274084,0.4766633565044687,0.2790466732869911,0.18100000000000002,0.011000000000000001,0.006999999999999999,0.248,0.513,0.027000000000000003,0.0,0.9470000000000001,Manufacturing-dependent,0.504,0.04,0.172,0.07400000000000001,13.0,11.27,0.32299999999999995,0.17600000000000002,0.121,0.147,0.068,0.262,3639.0,2039.0,262,36,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,9.0,14.0,0.20800000000000002,0.09699999999999999,0.293,0.402,0.222,0.028999999999999998,0.016,0.171,0.479,0.105,0.025,0.8140000000000001,Recreation,0.40399999999999997,0.08,0.213,0.08199999999999999,10.0,16.46,0.23199999999999998,0.19399999999999998,0.092,0.265,0.052000000000000005,0.205,939.0,1080.0,241,37,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,11.0,14.0,0.2172172172172172,0.07607607607607607,0.3623623623623624,0.3443443443443443,0.19899999999999998,0.013999999999999999,0.0,0.228,0.49700000000000005,0.023,0.008,0.9540000000000001,Farm-dependent,0.5589999999999999,0.027000000000000003,0.153,0.062,12.0,14.82,0.311,0.17300000000000001,0.08900000000000001,0.19399999999999998,0.055999999999999994,0.306,8360.0,4150.0,261,39,a
